,,,,,,,,Tỷ VNĐ,VNĐ,%,%,%,%,Nghìn CP,Tỷ VNĐ,%,VNĐ,%,x,x,x,x,x,Tỷ VNĐ,%,,,,,,%,Tỷ VNĐ,%,,,,,,%,Tỷ VNĐ,%,%,%,,,,%,
,42,VDS,Chứng khoán Rồng Việt,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  3.930 ,  14.450 ,"-3,7%","0,4%","-21,5%","-14,5%",  1.045 ,"  17,3 ","7,9%",  1.505 ,"72,6%","  18,8 ","  16,7 ","  9,6 ","  1,6 ","  1,3 ","  202,8 ","15,4%","-41,4%","-43,1%","107,5%","44,8%","20,0%","26,6%","  (29,5)","-7,2%","-84,6%","-109,4%","241,5%","135,0%","-255,1%","44,6%","  (28,5)","-7,0%","-84,2%","-109,2%","237,5%","149,8%","-249,4%","44,6%",Chính thức
,43,AGR,Agriseco,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  3.311 ,  14.500 ,"-3,0%","-0,3%","-10,2%","-9,9%",  675 ,"  10,5 ","6,0%",  -   ,"0,0%","  26,6 ","  21,7 ",  -   ,"  1,5 ","  1,3 ","  145,3 ",,"12,5%","-19,8%","59,9%","22,9%","40,1%",,"  43,5 ",,"-8,5%","-53,2%","118,2%","-32,6%","33,8%",,"  43,5 ",,"-8,5%","-53,2%","118,2%","-32,6%","33,8%",,Chính thức
,44,TVS,Chứng khoán Thiên Việt,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  3.075 ,  13.700 ,"-0,7%","3,8%","-5,2%","-7,3%",  128 ,"  1,8 ","9,0%",  1.513 ,"25,7%","  15,7 ","  12,5 ","  9,1 ","  1,5 ","  1,1 ","  258,7 ",,"-52,3%","-28,7%","116,6%","-20,5%","45,8%",,"  2,4 ","0,7%","-57,2%","100,5%","273,3%","-90,5%","-94,4%","18,5%","  2,2 ","0,6%","-57,1%","99,9%","273,3%","-90,7%","-95,0%","18,5%",Chính thức
,45,BVS,Chứng khoán Bảo Việt,HNX,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  1.848 ,  25.600 ,"-6,9%","-2,7%","-14,4%","-12,0%",  255 ,"  7,2 ","7,7%",  -   ,"0,0%","  12,3 ","  9,0 ",  -   ,"  1,0 ","  0,7 ","  282,5 ",,"-24,2%","-15,0%","89,9%","15,2%","58,2%",,"  20,9 ",,"-24,9%","50,2%","128,0%","-50,6%","-49,1%",,"  20,9 ",,"-24,9%","50,2%","128,0%","-50,6%","-49,1%",,Chính thức
,46,APG,Chứng khoán APG,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  1.094 ,  4.890 ,"-6,7%","-15,0%","-53,2%","-53,2%",  789 ,"  4,9 ","0,1%",  -   ,"0,0%","  1,7 ","  349,1 ",  -   ,"  1,0 ","  0,5 ","  85,0 ",,"-18,0%","148,0%","232,7%","1450,8%","243,0%",,"  6,5 ",,"41,0%","-115,7%","113,0%","50,8%","-26,4%",,"  6,5 ",,"41,0%","-115,7%","113,0%","50,8%","-26,4%",,Chính thức
,47,VFS,Chứng khoán Nhất Việt,HNX,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  1.806 ,  12.900 ,"-2,3%","-12,8%","-15,1%","-15,7%",  1.905 ,"  27,2 ","8,4%",  1.170 ,"14,7%","  19,6 ","  12,6 ","  11,0 ","  1,5 ","  1,0 ","  130,2 ","21,4%","49,4%","123,4%","97,5%","71,3%","39,6%","19,6%","  25,5 ","15,6%","16,9%","16,7%","32,3%","11,9%","-19,5%","10,0%","  25,5 ","15,6%","16,9%","16,7%","32,3%","11,9%","-19,5%","10,0%",Chính thức
,48,AAS,Chứng khoán SmartInvest,UPCoM,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  1.918 ,  8.340 ,"-3,6%","-0,7%","-20,5%","-20,2%",  1.381 ,"  12,6 ","5,3%",  748 ,"23,5%","  18,9 ","  13,8 ","  11,2 ","  0,8 ","  0,7 ","  88,8 ","14,8%","-17,4%","9,5%","143,0%","9,9%","-15,1%","10,9%","  10,2 ","5,9%","-21,5%","-1,0%","600,3%","-303,5%","-65,1%","8,8%","  10,2 ","5,9%","-21,5%","-1,0%","600,3%","-303,5%","-65,1%","8,8%",Chính thức
,49,PHS,Chứng khoán Phú Hưng,UPCoM,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  1.920 ,  9.600 ,"-0,1%","-19,3%","-18,0%","-8,6%",  0 ,"  0,0 ","3,9%",  702 ,"71,3%","  1.341,7 ","  23,4 ","  13,7 ","  1,2 ","  0,9 ","  174,2 ","22,0%","-24,4%","15,8%","72,1%","70,8%","55,5%","27,7%","  3,5 ","2,5%","18,0%","3058,8%","485,6%","1749,6%","-76,5%","50,4%","  3,5 ","2,5%","18,0%","3058,8%","485,6%","1749,6%","-76,5%","50,4%",Chính thức
,50,EVS,Chứng khoán EVS,HNX,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  758 ,  4.600 ,"-9,8%","-9,8%","-19,3%","-22,0%",  135 ,"  0,7 ","-8,1%",  36 ,"103,8%","  36,0 ","  (4,9)","  127,6 ","  0,6 ","  0,4 ","  8,2 ","6,6%","69,8%","-49,0%","154,1%","-36,1%","-90,6%","-55,5%","  (157,5)","-2651,7%","-31,2%","-146,4%","117,6%","-63,8%","-1618,1%","-50,9%","  (157,5)","-2651,7%","-31,2%","-146,4%","117,6%","-63,8%","-1618,1%","-50,9%",Chính thức
,51,TCI,Chứng khoán Thành Công,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  1.208 ,  10.450 ,"3,5%","17,4%","16,5%","6,7%",  139 ,"  1,3 ","-0,2%",  -   ,"0,0%","  21,5 ","  (541,5)",  -   ,"  0,9 ","  0,9 ","  81,1 ",,"32,1%","20,0%","163,9%","81,1%","8,6%",,"  0,5 ",,"3,2%","49,1%","236,3%","-8490,8%","-98,0%",,"  0,5 ",,"4,1%","48,7%","235,4%","-8645,7%","-97,8%",,Chính thức
